program	rank	gene	loading
P6	25	CXCL11	13.0102495612705
P6	26	CCL3	12.9660294083665
P6	27	CTSC	12.8426262047383
P6	28	HSPA5	11.7494276647417
P6	29	HSP90AA1	11.361545911732
P6	30	RSAD2	10.8760838768457
P6	31	CTSL	9.60261664430305
P6	32	IRF1	9.32767520115313
P6	33	TIMP1	9.2621819373765
P6	34	CCL5	9.07212644368781
P6	35	APOBEC3A	8.12752612213557
P6	36	IL1RN	7.8703549266306
P6	37	CCL4L2	7.68644218810052
P6	38	NUB1	7.65454211520562
P6	39	FN1	7.38638049976543
P6	40	CTSZ	6.8288394127251
P6	41	DUSP2	6.67712257555939
P6	42	CSTB	5.67878873480271
P6	43	HSPD1	5.57511288790532
P6	44	ANXA1	5.53528707365314
P6	45	GPR183	5.52217018939407
P6	46	IDO1	5.40901532385532
P6	47	LGALS3	5.37654369206125
P6	48	IL32	5.17896283862284
P6	49	SLAMF7	5.1182832633568
P6	50	NEAT1	4.83734782830949
