cohort	unit	target	spots	high_P4_spots	observed_neighbor_effect	null_median	excess_over_null	permutation_p	fdr_within_unit
TNBC94 extension	21	cd8_cytotoxic	545	137	-0.003604661441428167	-0.0025980966442767754	-0.0010065647971513915	0.743128435782109	0.743128435782109
TNBC94 extension	21	tcell_exhaustion	545	137	0.0015094671944623564	-0.0012106875989970865	0.002720154793459443	0.44177911044477763	0.5890388139263701
TNBC94 extension	21	tcell_ifng_response	545	137	0.008937651990837736	-0.013621806891728816	0.022559458882566552	0.11044477761119441	0.22088955522238882
TNBC94 extension	21	tcell_progenitor	545	137	0.004331226184601848	-0.001963897987188365	0.006295124171790213	0.07246376811594203	0.22088955522238882
TNBC94 extension	22	cd8_cytotoxic	1777	445	0.002728201666103127	0.0023054767379633353	0.0004227249281397918	0.49825087456271866	0.8362485423954689
TNBC94 extension	22	tcell_exhaustion	1777	445	0.005957126015002721	0.004832722419754378	0.0011244035952483432	0.4222888555722139	0.8362485423954689
TNBC94 extension	22	tcell_ifng_response	1777	445	0.001315690089437889	8.613430269542588e-05	0.001229555786742463	0.6271864067966016	0.8362485423954689
TNBC94 extension	22	tcell_progenitor	1777	445	0.006689914398451995	0.006427382853194321	0.00026253154525767396	0.8920539730134932	0.8920539730134932
TNBC94 extension	23	cd8_cytotoxic	1335	334	0.0014976728502424513	-0.0005478092949319502	0.0020454821451744015	0.4567716141929036	0.4567716141929036
TNBC94 extension	23	tcell_exhaustion	1335	334	-0.0027383175711036684	-0.0004406187246526576	-0.0022976988464510108	0.3983008495752124	0.4567716141929036
TNBC94 extension	23	tcell_ifng_response	1335	334	-0.021203981551283002	-0.002396836042091649	-0.018807145509191353	0.035982008995502246	0.14392803598200898
TNBC94 extension	23	tcell_progenitor	1335	334	0.0055156340940038795	0.0008344553991722417	0.004681178694831638	0.30684657671164417	0.4567716141929036
TNBC94 extension	24	cd8_cytotoxic	536	134	0.0008805232096801988	-0.00016084695254416212	0.001041370162224361	0.45577211394302847	0.5812093953023488
TNBC94 extension	24	tcell_exhaustion	536	134	0.005481865941948723	-0.0014170296635039846	0.0068988956054527074	0.037481259370314844	0.14992503748125938
TNBC94 extension	24	tcell_ifng_response	536	134	-0.005530765783230834	-0.0013032456288211008	-0.0042275201544097335	0.5812093953023488	0.5812093953023488
TNBC94 extension	24	tcell_progenitor	536	134	0.007700536011922901	-0.0003652220485604596	0.00806575806048336	0.11794102948525736	0.23588205897051473
TNBC94 extension	25	cd8_cytotoxic	1338	335	0.006182528169550561	0.0026853410121347957	0.003497187157415765	0.15642178910544727	0.2085623854739297
TNBC94 extension	25	tcell_exhaustion	1338	335	0.005392143437726107	0.0019112148926135088	0.0034809285451125986	0.07796101949025487	0.15592203898050974
TNBC94 extension	25	tcell_ifng_response	1338	335	0.006929652207004533	0.013572357144025576	-0.006642704937021043	0.543728135932034	0.543728135932034
TNBC94 extension	25	tcell_progenitor	1338	335	0.008943475872479248	0.0018385823357426577	0.00710489353673659	0.0024987506246876563	0.009995002498750625
TNBC94 extension	26	cd8_cytotoxic	204	51	0.009839288925901492	0.0037070382643728094	0.006132250661528683	0.30634682658670664	0.500416458437448
TNBC94 extension	26	tcell_exhaustion	204	51	0.023843745297890417	0.004767319831518759	0.019076425466371658	0.02848575712143928	0.11394302848575712
TNBC94 extension	26	tcell_ifng_response	204	51	-0.0012293562289655974	0.002311442684666501	-0.0035407989136320983	0.7616191904047976	0.7616191904047976
TNBC94 extension	26	tcell_progenitor	204	51	-0.010871760030960347	-0.004048704006136931	-0.006823056024823415	0.375312343828086	0.500416458437448
TNBC94 extension	27	cd8_cytotoxic	1173	294	-0.003620243193221115	-0.0007955127378076327	-0.0028247304554134822	0.391304347826087	0.7361319340329835
TNBC94 extension	27	tcell_exhaustion	1173	294	0.0007733788732327551	-0.0007195130797883753	0.0014928919530211304	0.7361319340329835	0.7361319340329835
TNBC94 extension	27	tcell_ifng_response	1173	294	0.0053555980684832916	-0.004395163926226353	0.009750761994709645	0.440279860069965	0.7361319340329835
TNBC94 extension	27	tcell_progenitor	1173	294	-0.004023834147989375	-0.0018782550795546082	-0.0021455790684347664	0.6771614192903548	0.7361319340329835
TNBC94 extension	28	cd8_cytotoxic	653	164	-0.04775075820795033	-0.037657369253069645	-0.010093388954880683	0.5007496251874063	0.5007496251874063
TNBC94 extension	28	tcell_exhaustion	653	164	0.009961929294938748	-0.00895646460645852	0.018918393901397268	0.001999000499750125	0.002665333999666833
TNBC94 extension	28	tcell_ifng_response	653	164	0.06390585297085705	-0.014302873209043832	0.07820872617990088	0.0004997501249375312	0.0009995002498750624
TNBC94 extension	28	tcell_progenitor	653	164	-0.13225979760860807	-0.048377481943189915	-0.08388231566541815	0.0004997501249375312	0.0009995002498750624
TNBC94 extension	29	cd8_cytotoxic	895	224	0.005013205419388857	0.0019972370302020655	0.0030159683891867912	0.45177411294352826	0.6023654839247043
TNBC94 extension	29	tcell_exhaustion	895	224	0.00048090640565237597	0.000558919521468703	-7.801311581632706e-05	0.9850074962518741	0.9850074962518741
TNBC94 extension	29	tcell_ifng_response	895	224	-0.008858090887295417	8.944303129199138e-06	-0.008867035190424616	0.19540229885057472	0.4917541229385307
TNBC94 extension	29	tcell_progenitor	895	224	0.008315386085494383	0.0016570412197087006	0.006658344865785683	0.24587706146926536	0.4917541229385307
