validation_program	rank	gene	loading
B2	45	AL138963.4	0.20328142481847905
B2	46	MUCL1	0.20004835685282382
B2	47	EBI3	0.19554204212604037
B2	48	SELENOP	0.1825983903900957
B2	49	SH3BP1	0.17781653417983365
B2	50	PAPSS2	0.1759589532181703
B3	1	SELENOP	5.932186894434715
B3	2	SLC40A1	3.1678318834167856
B3	3	F13A1	2.6623369321791674
B3	4	CCL2	2.2292991478524757
B3	5	MRC1	1.9189667096376963
B3	6	HMOX1	1.6064088491022228
B3	7	CD36	1.4797483170032368
B3	8	LYVE1	1.4790734466383122
B3	9	CXCL3	1.357084379301863
B3	10	LILRB5	1.3513944493000138
B3	11	HSPB1	1.2618338816345358
B3	12	STMN1	1.2249824727874004
B3	13	PDK4	1.2241521921818739
B3	14	EGFL7	1.1703084894810243
B3	15	WWP1	1.0176160237118168
B3	16	CXCL12	1.0158810602922903
B3	17	CD209	1.011443983292782
B3	18	MEF2C	0.9302076487249005
B3	19	CCL8	0.7768430227751999
B3	20	FABP4	0.7699067718744858
B3	21	TIMP1	0.7414132370314381
B3	22	CCL18	0.6590430928235471
B3	23	CLEC10A	0.6500404116388175
B3	24	FCGR2B	0.6392749152716988
B3	25	MT-ND6	0.5749721977683389
B3	26	LPAR6	0.5647692316139602
B3	27	EGR2	0.5562623529536979
B3	28	HSPH1	0.5537249129674763
B3	29	LYZ	0.4691566485366385
B3	30	CXCL1	0.4640920562657206
B3	31	CD93	0.4266546942441449
B3	32	PAPSS2	0.4143257110430261
B3	33	TTN	0.40475957464542334
B3	34	CCL13	0.39057759809903525
B3	35	INSIG1	0.3902749787523587
B3	36	PDGFC	0.3660236523923088
B3	37	NUPR1	0.3576803131912136
B3	38	HSPA6	0.33971629514400375
B3	39	TSC22D2	0.3267705710200045
B3	40	CCL4L2	0.32519580770633166
B3	41	SCN1B	0.3182868135878258
B3	42	DDIT4	0.2723442630904107
B3	43	MTRNR2L12	0.26791830898102287
B3	44	BIN1	0.2657503434224564
B3	45	MARCO	0.26170381526272446
B3	46	TNFRSF25	0.2580082398904152
B3	47	RARRES1	0.23530900020664872
B3	48	AC008945.1	0.23151382913465182
B3	49	MGP	0.21849615515835094
B3	50	MVB12B	0.21379902023954156
B4	1	LYZ	5.341416279067727
B4	2	MMP9	1.576550072549279
B4	3	HSPB1	1.5382336204655902
B4	4	NUPR1	1.4575652390617562
B4	5	FBP1	1.3529373219624683
B4	6	FN1	1.3100386921597917
B4	7	APOC2	1.2010012166580573
B4	8	CCL18	1.1917178459602713
B4	9	TIMP1	1.113185467559858
B4	10	HMOX1	1.1019779912089256
B4	11	CD52	1.0761096020169316
B4	12	MT-ND6	1.01012515801174
B4	13	G0S2	0.9911192666993024
B4	14	CRIP1	0.9813972282575812
B4	15	INSIG1	0.942666563024148
B4	16	FCGR2B	0.9029911069504225
B4	17	MMP19	0.8839824583381612
B4	18	SLC2A3	0.8624718436706967
B4	19	FABP4	0.8407912957186428
B4	20	STMN1	0.8093778722253657
B4	21	CD36	0.7149412500526211
B4	22	RARRES1	0.7118712670417662
B4	23	AREG	0.6724072731543242
B4	24	CHI3L1	0.6713998206012135
B4	25	S100A8	0.6100912695081314
B4	26	CXCL9	0.5465091145233816
B4	27	SCD	0.53603395662679
B4	28	PAPSS2	0.5271812786881829
