cohort	treatment	subcluster	cells
Patient16	RTPD1	myeloid_07	113
Patient16	RTPD1	myeloid_08	115
Patient16	RTPD1	myeloid_09	407
Patient16	RTPD1	myeloid_10	331
Patient16	RTPD1	myeloid_11	965
Patient17	Base	myeloid_00	3
Patient17	Base	myeloid_01	119
Patient17	Base	myeloid_02	6
Patient17	Base	myeloid_03	158
Patient17	Base	myeloid_04	115
Patient17	Base	myeloid_05	112
Patient17	Base	myeloid_06	3
Patient17	Base	myeloid_07	67
Patient17	Base	myeloid_08	72
Patient17	Base	myeloid_09	287
Patient17	Base	myeloid_10	70
Patient17	Base	myeloid_11	435
Patient17	PD1	myeloid_00	49
Patient17	PD1	myeloid_01	137
Patient17	PD1	myeloid_03	20
Patient17	PD1	myeloid_04	53
Patient17	PD1	myeloid_05	70
Patient17	PD1	myeloid_06	10
Patient17	PD1	myeloid_07	14
Patient17	PD1	myeloid_08	15
Patient17	PD1	myeloid_09	59
Patient17	PD1	myeloid_10	49
Patient17	PD1	myeloid_11	352
Patient17	RTPD1	myeloid_00	4
Patient17	RTPD1	myeloid_01	84
Patient17	RTPD1	myeloid_02	3
Patient17	RTPD1	myeloid_03	8
Patient17	RTPD1	myeloid_04	121
Patient17	RTPD1	myeloid_05	29
Patient17	RTPD1	myeloid_06	17
Patient17	RTPD1	myeloid_07	4
Patient17	RTPD1	myeloid_08	19
Patient17	RTPD1	myeloid_09	50
Patient17	RTPD1	myeloid_10	16
Patient17	RTPD1	myeloid_11	780
Patient18	Base	myeloid_00	23
Patient18	Base	myeloid_01	86
Patient18	Base	myeloid_02	6
Patient18	Base	myeloid_03	224
Patient18	Base	myeloid_04	174
Patient18	Base	myeloid_05	57
Patient18	Base	myeloid_06	85
Patient18	Base	myeloid_07	10
Patient18	Base	myeloid_08	8
Patient18	Base	myeloid_09	43
Patient18	Base	myeloid_10	18
Patient18	Base	myeloid_11	550
Patient18	PD1	myeloid_00	1
Patient18	PD1	myeloid_01	4
Patient18	PD1	myeloid_03	33
Patient18	PD1	myeloid_04	13
Patient18	PD1	myeloid_05	5
Patient18	PD1	myeloid_07	20
Patient18	PD1	myeloid_08	9
Patient18	PD1	myeloid_09	53
Patient18	PD1	myeloid_10	10
Patient18	PD1	myeloid_11	122
Patient18	RTPD1	myeloid_01	2
Patient18	RTPD1	myeloid_03	41
Patient18	RTPD1	myeloid_04	26
Patient18	RTPD1	myeloid_05	5
Patient18	RTPD1	myeloid_07	65
Patient18	RTPD1	myeloid_08	40
Patient18	RTPD1	myeloid_09	65
Patient18	RTPD1	myeloid_10	2
Patient18	RTPD1	myeloid_11	179
Patient19	Base	myeloid_00	6
Patient19	Base	myeloid_01	28
Patient19	Base	myeloid_02	1
Patient19	Base	myeloid_03	35
Patient19	Base	myeloid_04	117
Patient19	Base	myeloid_05	11
Patient19	Base	myeloid_07	4
Patient19	Base	myeloid_08	10
Patient19	Base	myeloid_09	71
Patient19	Base	myeloid_10	53
Patient19	Base	myeloid_11	77
Patient19	PD1	myeloid_00	771
Patient19	PD1	myeloid_01	100
Patient19	PD1	myeloid_02	11
Patient19	PD1	myeloid_03	140
Patient19	PD1	myeloid_04	231
Patient19	PD1	myeloid_05	128
Patient19	PD1	myeloid_06	11
Patient19	PD1	myeloid_07	29
Patient19	PD1	myeloid_08	31
Patient19	PD1	myeloid_09	168
Patient19	PD1	myeloid_10	268
Patient19	PD1	myeloid_11	993
Patient19	RTPD1	myeloid_00	44
Patient19	RTPD1	myeloid_01	147
Patient19	RTPD1	myeloid_02	7
Patient19	RTPD1	myeloid_03	152
Patient19	RTPD1	myeloid_04	758
Patient19	RTPD1	myeloid_05	85
Patient19	RTPD1	myeloid_06	7
Patient19	RTPD1	myeloid_07	47
Patient19	RTPD1	myeloid_08	21
Patient19	RTPD1	myeloid_09	277
Patient19	RTPD1	myeloid_10	629
Patient19	RTPD1	myeloid_11	1630
Patient20	Base	myeloid_00	10
Patient20	Base	myeloid_01	9
Patient20	Base	myeloid_02	2
Patient20	Base	myeloid_03	29
Patient20	Base	myeloid_04	2
Patient20	Base	myeloid_05	3
Patient20	Base	myeloid_06	77
Patient20	Base	myeloid_07	2
Patient20	Base	myeloid_09	1
Patient20	Base	myeloid_10	3
Patient20	Base	myeloid_11	62
Patient20	PD1	myeloid_00	38
Patient20	PD1	myeloid_01	236
Patient20	PD1	myeloid_02	14
