validation_program	rank	gene	loading
A2	16	GNA13	0.6944011508119144
A2	17	CXCL10	0.5500088261306136
A2	18	SLC16A10	0.5258634744539554
A2	19	CCL3	0.5183052148777312
A2	20	BLVRA	0.4976956749243176
A2	21	CCL4	0.49475890743052814
A2	22	FABP5	0.4812602335317277
A2	23	HMOX1	0.4283616588901922
A2	24	CCL2	0.4128333162529263
A2	25	CCL3L3	0.4084216823464203
A2	26	STAB1	0.4037263913425326
A2	27	ATP5J2	0.3756887534773069
A2	28	BLVRB	0.3643590167042985
A2	29	SNRPF	0.34800802140311193
A2	30	CXCL8	0.34226235020457424
A2	31	IL1B	0.3405845631584712
A2	32	DUSP6	0.3327433087037635
A2	33	NDUFA3	0.29555941527082596
A2	34	TM9SF3	0.286158590214921
A2	35	MRPL51	0.27113958617049544
A2	36	CD93	0.27083549910578275
A2	37	PAPOLA	0.2687051027475356
A2	38	C5AR2	0.26820982419770956
A2	39	SMIM7	0.25812298021772156
A2	40	CCL8	0.22231026664704015
A2	41	FN1	0.22165599550032328
A2	42	NDUFAF3	0.21882340780308204
A2	43	CD82	0.21401625359589585
A2	44	PSMC5	0.198432745450047
A2	45	GLYR1	0.19831256324269755
A2	46	PRAM1	0.19497761102375885
A2	47	LPCAT1	0.188928758023579
A2	48	INPP5D	0.18378040291010378
A2	49	MTMR6	0.18195220787134858
A2	50	NOL7	0.17412036834414918
A3	1	C3	4.7769641437658485
A3	2	CEBPD	3.249585531176764
A3	3	FTH1	2.271617382530082
A3	4	TXNIP	2.139608674557761
A3	5	CX3CR1	1.9180629524098087
A3	6	FCGBP	1.9055706656099698
A3	7	CCL3	1.5386952856791236
A3	8	CCL4	1.1845397239127702
A3	9	HSPA1A	1.1702304934544967
A3	10	INPP5D	1.111340938932602
A3	11	CCL3L3	1.0926609149468478
A3	12	HTRA1	0.9916177303466206
A3	13	CCL4L2	0.9673951359450007
A3	14	GAL3ST4	0.9339072527376122
A3	15	DUSP6	0.7874705871626656
A3	16	STAB1	0.7829882709485868
A3	17	DNAJB1	0.7104978664685724
A3	18	SLC40A1	0.6218318394057646
A3	19	IL1B	0.5821720949239716
A3	20	CXCL8	0.5089832443420754
A3	21	IGSF21	0.5027846499321775
A3	22	PARP1	0.4396162795471575
A3	23	GPR65	0.4378322742374482
A3	24	HMOX1	0.4374496599819356
A3	25	ITPRIPL2	0.4362308436368908
